step_arrived;step_collisions;step_duration;step_ended;step_halting;step_inserted;step_loaded;step_meanSpeed;step_meanSpeedRelative;step_meanTravelTime;step_meanWaitingTime;step_running;step_stopped;step_teleports;step_time;step_waiting
0;0;1623812697014;0;0;0;1;-1.00;-1.00;-1.00;-1.00;0;0;0;0.00;0
0;0;1623812697115;0;0;1;222;29.45;1.06;-1.00;1.00;1;0;0;1.00;0
0;0;1623812697214;0;0;2;222;27.18;0.98;-1.00;1.00;2;0;0;2.00;0
0;0;1623812697315;0;0;3;222;26.80;0.96;-1.00;1.00;3;0;0;3.00;0
0;0;1623812697415;0;0;3;222;24.87;0.90;-1.00;1.00;3;0;0;4.00;0
0;0;1623812697515;0;0;6;222;24.83;0.89;-1.00;1.00;6;0;0;5.00;0
0;0;1623812697615;0;0;6;222;23.28;0.84;-1.00;1.00;6;0;0;6.00;0
0;0;1623812697715;0;0;6;222;21.03;0.76;-1.00;1.00;6;0;0;7.00;0
0;0;1623812697816;0;0;7;222;20.33;0.73;-1.00;1.00;7;0;0;8.00;0
0;0;1623812697915;0;1;8;222;19.01;0.68;-1.00;1.00;8;0;0;9.00;0
0;0;1623812697916;0;1;8;222;17.92;0.65;-1.00;1.00;8;0;0;10.00;0
0;0;1623812697916;0;2;10;222;18.64;0.67;-1.00;0.90;10;0;0;11.00;0
0;0;1623812697916;0;1;13;222;20.26;0.73;-1.00;0.92;13;0;0;12.00;0
0;0;1623812697916;0;1;13;222;19.92;0.72;-1.00;0.92;13;0;0;13.00;0
0;0;1623812697917;0;2;13;222;19.39;0.70;-1.00;0.92;13;0;0;14.00;0
0;0;1623812697917;0;2;14;222;19.62;0.71;-1.00;0.93;14;0;0;15.00;0
0;0;1623812697918;0;2;15;222;19.48;0.70;-1.00;0.93;15;0;0;16.00;0
0;0;1623812697918;0;2;18;222;19.97;0.72;-1.00;0.94;18;0;0;17.00;0
0;0;1623812697918;0;2;18;222;19.58;0.70;-1.00;0.94;18;0;0;18.00;0
0;0;1623812697918;0;2;21;222;20.33;0.73;-1.00;0.95;21;0;0;19.00;0
0;0;1623812697919;0;3;23;222;20.23;0.73;-1.00;0.96;23;0;0;20.00;0
1;0;1623812697919;1;4;23;222;19.28;0.69;16.00;0.96;22;0;0;21.00;0
1;0;1623812697919;1;4;24;222;18.42;0.66;16.00;0.96;23;0;0;22.00;0
1;0;1623812697920;1;4;26;222;17.63;0.63;16.00;0.96;25;0;0;23.00;0
1;0;1623812697920;1;3;28;222;16.96;0.61;16.00;0.96;27;0;0;24.00;0
1;0;1623812697920;1;4;29;222;16.40;0.59;16.00;0.97;28;0;0;25.00;0
2;0;1623812697921;2;4;32;222;16.26;0.59;18.50;0.97;30;0;0;26.00;0
2;0;1623812697921;2;6;32;222;15.20;0.55;18.50;0.97;30;0;0;27.00;0
2;0;1623812697922;2;6;33;222;14.86;0.53;18.50;0.97;31;0;0;28.00;0
2;0;1623812697922;2;7;33;222;14.05;0.51;18.50;0.97;31;0;0;29.00;0
2;0;1623812697922;2;7;34;222;14.04;0.51;18.50;0.97;32;0;0;30.00;0
2;0;1623812697923;2;8;34;222;13.53;0.49;18.50;0.97;32;0;0;31.00;0
3;0;1623812697923;3;8;34;222;12.69;0.46;17.33;0.97;31;0;0;32.00;0
3;0;1623812697923;3;9;35;222;12.59;0.45;17.33;0.97;32;0;0;33.00;0
3;0;1623812697924;3;12;35;222;11.93;0.43;17.33;0.97;32;0;0;34.00;0
3;0;1623812697924;3;11;36;222;11.87;0.43;17.33;0.94;33;0;0;35.00;0
3;0;1623812697924;3;11;37;222;11.74;0.42;17.33;0.95;34;0;0;36.00;0
5;0;1623812697925;5;11;40;222;11.88;0.43;16.20;0.95;35;0;0;37.00;0
5;0;1623812697925;5;11;43;222;12.76;0.46;16.20;0.95;38;0;0;38.00;0
5;0;1623812697925;5;11;43;222;12.40;0.45;16.20;0.95;38;0;0;39.00;0
7;0;1623812697925;7;11;44;222;11.43;0.41;19.00;0.95;37;0;0;40.00;0
8;0;1623812697926;8;11;44;222;10.45;0.38;21.12;0.95;36;0;0;41.00;0
8;0;1623812697926;8;13;44;222;9.90;0.36;21.12;0.95;36;0;0;42.00;0
8;0;1623812697926;8;15;47;222;10.82;0.39;21.12;0.96;39;0;0;43.00;1
9;0;1623812697926;9;17;48;222;10.41;0.37;22.78;0.98;39;0;0;44.00;0
9;0;1623812697927;9;14;49;222;10.72;0.39;22.78;0.98;40;0;0;45.00;0
9;0;1623812697927;9;14;49;222;10.47;0.38;22.78;0.98;40;0;0;46.00;0
11;0;1623812697927;11;13;52;222;10.61;0.38;23.27;0.98;41;0;0;47.00;0
11;0;1623812697928;11;14;54;222;11.33;0.41;23.27;0.98;43;0;0;48.00;0
12;0;1623812697928;12;17;54;222;10.70;0.39;24.00;0.98;42;0;0;49.00;0
12;0;1623812697928;12;16;56;222;10.95;0.39;24.00;0.98;44;0;0;50.00;2
14;0;1623812697929;14;16;59;222;11.13;0.40;25.43;1.02;45;0;0;51.00;0
14;0;1623812697929;14;16;60;222;11.05;0.40;25.43;1.02;46;0;0;52.00;0
15;0;1623812697929;15;16;61;222;10.67;0.38;26.67;1.02;46;0;0;53.00;0
